[2025-03-26T13:46:41.578+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-26T13:46:41.920+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:50:00+00:00 [queued]>
[2025-03-26T13:46:41.985+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:50:00+00:00 [queued]>
[2025-03-26T13:46:41.991+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 6
[2025-03-26T13:46:42.464+0000] {taskinstance.py:2890} INFO - Executing <Task(DockerOperator): php_app1> on 2025-03-25 01:50:00+00:00
[2025-03-26T13:46:42.529+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=711) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-26T13:46:42.531+0000] {standard_task_runner.py:72} INFO - Started process 723 to run task
[2025-03-26T13:46:42.780+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'containers1_dag', 'php_app1', 'scheduled__2025-03-25T01:50:00+00:00', '--job-id', '66', '--raw', '--subdir', 'DAGS_FOLDER/containers1_dag.py', '--cfg-path', '/tmp/tmpv_t7hf_5']
[2025-03-26T13:46:42.783+0000] {standard_task_runner.py:105} INFO - Job 66: Subtask php_app1
[2025-03-26T13:46:43.203+0000] {task_command.py:467} INFO - Running <TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:50:00+00:00 [running]> on host 3d581a580455
[2025-03-26T13:46:47.948+0000] {docker.py:69} INFO -     int(1742852314)
[2025-03-26T13:46:47.948+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:47.949+0000] {docker.py:69} INFO -   [4]=>
[2025-03-26T13:46:47.949+0000] {docker.py:69} INFO -   object(stdClass)#6 (3) {
[2025-03-26T13:46:47.951+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:47.957+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:47.958+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:47.959+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:46:47.959+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:47.960+0000] {docker.py:69} INFO -     int(1742996301)
[2025-03-26T13:46:47.960+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:47.961+0000] {docker.py:69} INFO -   [5]=>
[2025-03-26T13:46:47.961+0000] {docker.py:69} INFO -   object(stdClass)#7 (3) {
[2025-03-26T13:46:47.962+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:47.962+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:47.963+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:47.963+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:46:47.963+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:47.964+0000] {docker.py:69} INFO -     int(1742996302)
[2025-03-26T13:46:47.964+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:47.965+0000] {docker.py:69} INFO -   [6]=>
[2025-03-26T13:46:47.965+0000] {docker.py:69} INFO -   object(stdClass)#8 (3) {
[2025-03-26T13:46:47.966+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:47.972+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:47.973+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:47.975+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:46:47.975+0000] {docker.py:69} INFO -     ["timestamp"]=>
