[2025-03-26T13:46:25.048+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-26T13:46:25.140+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:30:00+00:00 [queued]>
[2025-03-26T13:46:25.512+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:30:00+00:00 [queued]>
[2025-03-26T13:46:25.513+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 6
[2025-03-26T13:46:26.890+0000] {taskinstance.py:2890} INFO - Executing <Task(DockerOperator): php_app1> on 2025-03-25 01:30:00+00:00
[2025-03-26T13:46:27.010+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=671) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-26T13:46:27.021+0000] {standard_task_runner.py:72} INFO - Started process 690 to run task
[2025-03-26T13:46:27.036+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'containers1_dag', 'php_app1', 'scheduled__2025-03-25T01:30:00+00:00', '--job-id', '58', '--raw', '--subdir', 'DAGS_FOLDER/containers1_dag.py', '--cfg-path', '/tmp/tmp5qrbqfb1']
[2025-03-26T13:46:27.061+0000] {standard_task_runner.py:105} INFO - Job 58: Subtask php_app1
[2025-03-26T13:46:27.625+0000] {task_command.py:467} INFO - Running <TaskInstance: containers1_dag.php_app1 scheduled__2025-03-25T01:30:00+00:00 [running]> on host 3d581a580455
[2025-03-26T13:46:33.126+0000] {docker.py:69} INFO -     int(1742996302)
[2025-03-26T13:46:33.126+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:33.127+0000] {docker.py:69} INFO -   [6]=>
[2025-03-26T13:46:33.128+0000] {docker.py:69} INFO -   object(stdClass)#8 (3) {
[2025-03-26T13:46:33.129+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:33.130+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:33.130+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:33.131+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:46:33.132+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:33.132+0000] {docker.py:69} INFO -     int(1742996302)
[2025-03-26T13:46:33.132+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:33.133+0000] {docker.py:69} INFO -   [7]=>
[2025-03-26T13:46:33.133+0000] {docker.py:69} INFO -   object(stdClass)#9 (3) {
[2025-03-26T13:46:33.134+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:33.134+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:33.135+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:33.135+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:46:33.136+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:33.136+0000] {docker.py:69} INFO -     int(1742996303)
[2025-03-26T13:46:33.137+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:33.137+0000] {docker.py:69} INFO -   [8]=>
[2025-03-26T13:46:33.138+0000] {docker.py:69} INFO -   object(stdClass)#10 (3) {
[2025-03-26T13:46:33.138+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:33.138+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:33.139+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:33.139+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:46:33.139+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:33.139+0000] {docker.py:69} INFO -     int(1742996304)
[2025-03-26T13:46:33.140+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:33.140+0000] {docker.py:69} INFO -   [9]=>
[2025-03-26T13:46:33.141+0000] {docker.py:69} INFO -   object(stdClass)#11 (3) {
[2025-03-26T13:46:33.141+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:33.141+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:33.142+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:33.142+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:46:33.143+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:33.143+0000] {docker.py:69} INFO -     int(1742996305)
[2025-03-26T13:46:33.146+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:33.146+0000] {docker.py:69} INFO -   [10]=>
[2025-03-26T13:46:33.147+0000] {docker.py:69} INFO -   object(stdClass)#12 (3) {
[2025-03-26T13:46:33.147+0000] {docker.py:69} INFO -     ["contador
[2025-03-26T13:46:33.148+0000] {docker.py:69} INFO - "]=>
[2025-03-26T13:46:33.148+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:33.149+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:33.149+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:46:33.149+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:33.150+0000] {docker.py:69} INFO -     int(1742996305)
[2025-03-26T13:46:33.150+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:33.151+0000] {docker.py:69} INFO -   [11]=>
[2025-03-26T13:46:33.151+0000] {docker.py:69} INFO -   object(stdClass)#13 (3) {
[2025-03-26T13:46:33.151+0000] {docker.py:69} INFO -     ["contador
[2025-03-26T13:46:33.152+0000] {docker.py:69} INFO - "]=>
[2025-03-26T13:46:33.152+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:33.153+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:33.153+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:46:33.154+0000] {docker.py:69} INFO -     ["timestamp"
[2025-03-26T13:46:33.154+0000] {docker.py:69} INFO - ]=>
[2025-03-26T13:46:33.155+0000] {docker.py:69} INFO -     int(1742996305)
[2025-03-26T13:46:33.155+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:33.155+0000] {docker.py:69} INFO -   [12]=>
[2025-03-26T13:46:33.156+0000] {docker.py:69} INFO -   object(stdClass)#14 (3) {
[2025-03-26T13:46:33.156+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:33.157+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:33.157+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:33.157+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:46:33.158+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:33.158+0000] {docker.py:69} INFO -     int(1742996309)
[2025-03-26T13:46:33.159+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:33.159+0000] {docker.py:69} INFO -   [13]=>
[2025-03-26T13:46:33.159+0000] {docker.py:69} INFO -   object(stdClass)#15 (3) {
[2025-03-26T13:46:33.160+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:46:33.160+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:46:33.161+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:46:33.161+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:46:33.162+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:46:33.162+0000] {docker.py:69} INFO -     int(1742996309)
[2025-03-26T13:46:33.162+0000] {docker.py:69} INFO -   }
[2025-03-26T13:46:33.163+0000] {docker.py:69} INFO -   [14]=>
[2025-03-26T13:46:33.166+0000] {docker.py:69} INFO -   object(stdClass)#16 (3) {
[2025-03-26T13:46:33.167+0000] {docker.py:69} INFO -     ["contador"
[2025-03-26T13:46:33.168+0000] {docker.py:69} INFO - ]=>
[2025-03-26T13:46:33.168+0000] {docker.py:69} INFO -     int(1)
